,Platform,Year,Genre,Global_Sales
6380,PS4,2016,Racing,0.27
6390,3DS,2016,Adventure,0.27
12432,3DS,2016,Adventure,0.06
12412,PS3,2016,Sports,0.06
12402,PS4,2016,Racing,0.06
12388,PS4,2016,Action,0.06
16448,XOne,2016,Action,0.01
6588,WiiU,2016,Action,0.26
12234,3DS,2016,Action,0.07
5929,PSV,2016,Role-Playing,0.3
12835,PS4,2016,Action,0.05
5383,X360,2016,Action,0.34
12869,X360,2016,Sports,0.05
13174,XOne,2016,Racing,0.05
13170,PS4,2016,Sports,0.05
5426,PS4,2016,Role-Playing,0.34
5499,PS4,2016,Role-Playing,0.33
13100,PC,2016,Platform,0.05
13095,PS4,2016,Role-Playing,0.05
13080,PSV,2016,Role-Playing,0.05
16386,PC,2016,Action,0.01
5595,XOne,2016,Action,0.32
13044,PC,2016,Fighting,0.05
5621,PS4,2016,Action,0.32
13029,PS4,2016,Racing,0.05
5633,PS4,2016,Racing,0.32
13020,PSV,2016,Role-Playing,0.05
5661,PS4,2016,Platform,0.32
12987,PS4,2016,Sports,0.05
5696,PS3,2016,Action,0.32
5729,PS4,2016,Shooter,0.31
12954,3DS,2016,Strategy,0.05
12938,PC,2016,Sports,0.05
12932,PSV,2016,Misc,0.05
16399,PC,2016,Role-Playing,0.01
12930,PS3,2016,Action,0.05
12925,PS4,2016,Action,0.05
12913,PSV,2016,Action,0.05
12899,PC,2016,Role-Playing,0.05
351,PS4,2016,Shooter,3.61
14383,PC,2016,Strategy,0.03
14427,PS4,2016,Action,0.03
12133,PS4,2016,Shooter,0.07
15481,PS4,2016,Adventure,0.02
15658,PC,2016,Action,0.02
1568,3DS,2016,Action,1.27
15613,PS3,2016,Action,0.02
15598,PS3,2016,Shooter,0.02
1628,PS4,2016,Sports,1.23
15566,PS3,2016,Misc,0.02
16133,PSV,2016,Action,0.01
1701,PS4,2016,Sports,1.19
16136,PS4,2016,Action,0.01
1727,PS4,2016,Platform,1.17
15508,PSV,2016,Adventure,0.02
15507,PS3,2016,Action,0.02
15496,PSV,2016,Action,0.02
15475,PS4,2016,Role-Playing,0.02
15338,PS4,2016,Action,0.02
15470,PC,2016,Adventure,0.02
15466,WiiU,2016,Platform,0.02
15464,PS4,2016,Sports,0.02
15437,PC,2016,Action,0.02
15415,PC,2016,Simulation,0.02
15409,PC,2016,Role-Playing,0.02
15403,PS4,2016,Action,0.02
770,PS4,2016,Action,2.13
15400,PSV,2016,Adventure,0.02
15394,PS4,2016,Action,0.02
1958,PS4,2016,Fighting,1.06
15369,PSV,2016,Role-Playing,0.02
15341,XOne,2016,Role-Playing,0.02
15684,PS4,2016,Simulation,0.02
15714,PS4,2016,Action,0.02
15716,PSV,2016,Adventure,0.02
15720,XOne,2016,Action,0.02
16051,PC,2016,Strategy,0.01
16048,PS4,2016,Misc,0.01
16036,PS3,2016,Misc,0.01
16028,PSV,2016,Adventure,0.01
16020,PSV,2016,Action,0.01
16019,PS4,2016,Action,0.01
15998,3DS,2016,Fighting,0.01
1026,PS4,2016,Shooter,1.73
15982,3DS,2016,Action,0.01
15981,PSV,2016,Action,0.01
15946,PS4,2016,Shooter,0.02
15944,PSV,2016,Adventure,0.02
16095,PS4,2016,Action,0.01
15940,PS4,2016,Action,0.02
1156,PS4,2016,Action,1.6
15886,PS4,2016,Fighting,0.02
15885,PSV,2016,Adventure,0.02
1189,PS4,2016,Role-Playing,1.56
15862,PSV,2016,Adventure,0.02
1224,XOne,2016,Sports,1.53
15852,PS4,2016,Shooter,0.02
15804,X360,2016,Shooter,0.02
15801,XOne,2016,Strategy,0.02
1389,PS4,2016,Shooter,1.39
845,XOne,2016,Shooter,2.01
15726,PC,2016,Adventure,0.02
15339,PC,2016,Shooter,0.02
15300,PC,2016,Racing,0.02
16260,PS4,2016,Action,0.01
14680,PS4,2016,Action,0.03
14847,WiiU,2016,Action,0.03
14811,PS4,2016,Action,0.03
16220,PS4,2016,Action,0.01
16222,XOne,2016,Action,0.01
2991,XOne,2016,Shooter,0.68
16224,PSV,2016,Role-Playing,0.01
14776,3DS,2016,Misc,0.03
14755,PC,2016,Racing,0.03
14738,XOne,2016,Sports,0.03
14718,PS3,2016,Action,0.03
3145,XOne,2016,Sports,0.64
3149,PS4,2016,Action,0.64
14692,PSV,2016,Action,0.03
3221,3DS,2016,Role-Playing,0.63
15292,PSV,2016,Adventure,0.02
16235,PSV,2016,Adventure,0.01
16236,PS3,2016,Adventure,0.01
14640,PSV,2016,Adventure,0.03
14635,PC,2016,Strategy,0.03
16244,PC,2016,Racing,0.01
14614,3DS,2016,Action,0.03
14610,3DS,2016,Role-Playing,0.03
14609,XOne,2016,Action,0.03
16252,WiiU,2016,Adventure,0.01
14555,PC,2016,Sports,0.03
14530,PC,2016,Racing,0.03
14482,X360,2016,Action,0.03
14463,PSV,2016,Role-Playing,0.03
14867,PSV,2016,Adventure,0.03
14896,PS4,2016,Adventure,0.03
14909,PSV,2016,Role-Playing,0.02
14913,XOne,2016,Action,0.02
15281,PSV,2016,Adventure,0.02
16175,PS4,2016,Action,0.01
2212,WiiU,2016,Action,0.94
2242,WiiU,2016,Fighting,0.93
15203,XOne,2016,Racing,0.02
15184,PSV,2016,Action,0.02
15166,PS4,2016,Action,0.02
2342,PS4,2016,Sports,0.89
15150,PC,2016,Sports,0.02
2434,XOne,2016,Action,0.85
2444,XOne,2016,Shooter,0.85
2448,3DS,2016,Action,0.85
2457,PS4,2016,Action,0.84
15096,PSV,2016,Role-Playing,0.02
15082,PS4,2016,Action,0.02
2505,XOne,2016,Sports,0.82
2511,PS4,2016,Fighting,0.82
15070,PSV,2016,Action,0.02
15052,XOne,2016,Racing,0.02
15036,PS4,2016,Role-Playing,0.02
16203,PSV,2016,Adventure,0.01
15016,PS3,2016,Misc,0.02
15006,PSV,2016,Action,0.02
14983,X360,2016,Sports,0.02
14968,3DS,2016,Simulation,0.02
14966,PC,2016,Simulation,0.02
14955,PS3,2016,Action,0.02
271,PS4,2016,Shooter,4.2
9878,PS4,2016,Action,0.12
8400,PS4,2016,Sports,0.17
8657,PS4,2016,Adventure,0.16
8751,XOne,2016,Sports,0.15
8087,PS4,2016,Role-Playing,0.18
9438,PSV,2016,Action,0.13
16569,XOne,2016,Shooter,0.01
10731,PC,2016,Adventure,0.1
10733,PS3,2016,Role-Playing,0.1
11167,WiiU,2016,Action,0.09
16570,PS4,2016,Simulation,0.01
7246,PS4,2016,Role-Playing,0.22
11803,XOne,2016,Action,0.07
7220,PS4,2016,Role-Playing,0.22
10156,PS3,2016,Sports,0.11
11841,PS4,2016,Action,0.07
10814,XOne,2016,Action,0.1
7072,PS4,2016,Sports,0.23
8138,PC,2016,Shooter,0.18
221,PS4,2016,Sports,4.77
10827,3DS,2016,Action,0.09
10844,PS4,2016,Action,0.09
9538,PS3,2016,Action,0.13
10852,PS4,2016,Fighting,0.09
7180,PS4,2016,Shooter,0.22
11140,XOne,2016,Racing,0.09
8190,X360,2016,Sports,0.18
10889,PSV,2016,Action,0.09
8221,PSV,2016,Sports,0.17
10047,XOne,2016,Adventure,0.11
11895,PS4,2016,Fighting,0.07
11742,PS4,2016,Platform,0.07
11704,PS3,2016,Sports,0.08
8063,3DS,2016,Action,0.18
10231,PS3,2016,Role-Playing,0.11
11424,PS4,2016,Action,0.08
7672,3DS,2016,Action,0.2
7651,PS4,2016,Shooter,0.2
7812,3DS,2016,Simulation,0.19
8947,XOne,2016,Role-Playing,0.15
16555,PC,2016,Strategy,0.01
11520,PS4,2016,Racing,0.08
7575,PS4,2016,Sports,0.2
10393,PSV,2016,Action,0.11
7848,PSV,2016,Action,0.19
11550,XOne,2016,Shooter,0.08
10591,PC,2016,Strategy,0.1
10363,X360,2016,Action,0.11
7892,PS4,2016,Action,0.19
8872,PSV,2016,Role-Playing,0.15
7564,PC,2016,Strategy,0.2
16562,XOne,2016,Platform,0.01
8860,XOne,2016,Platform,0.15
9250,PC,2016,Action,0.14
11564,X360,2016,Sports,0.08
10283,PS4,2016,Role-Playing,0.11
11581,PS4,2016,Action,0.08
10264,PSV,2016,Fighting,0.11
16550,PS4,2016,Action,0.01
7497,PS4,2016,Action,0.2
11618,3DS,2016,Action,0.08
11242,PSV,2016,Role-Playing,0.09
10040,PS3,2016,Sports,0.11
7721,3DS,2016,Platform,0.2
7060,PSV,2016,Action,0.23
9711,XOne,2016,Sports,0.12
11065,PS4,2016,Misc,0.09
11010,3DS,2016,Action,0.09
9904,PS3,2016,Role-Playing,0.12
9993,PS4,2016,Action,0.12
6972,PSV,2016,Action,0.23
9700,XOne,2016,Shooter,0.12
9909,3DS,2016,Role-Playing,0.12
16530,XOne,2016,Racing,0.01
16531,XOne,2016,Action,0.01
16472,3DS,2016,Action,0.01
6955,WiiU,2016,Action,0.23
16589,PSV,2016,Action,0.01
12005,PC,2016,Shooter,0.07
12012,PS3,2016,Fighting,0.07
9811,PSV,2016,Action,0.12
9922,PS3,2016,Adventure,0.12
8444,3DS,2016,Role-Playing,0.17
6910,XOne,2016,Action,0.24
9680,PS3,2016,Action,0.12
8409,PS4,2016,Role-Playing,0.17
9646,XOne,2016,Shooter,0.13
8466,PS3,2016,Action,0.16
9900,PSV,2016,Action,0.12
10912,PSV,2016,Action,0.09
10954,PS4,2016,Simulation,0.09
9898,PSV,2016,Misc,0.12
10038,XOne,2016,Racing,0.11
16576,XOne,2016,Sports,0.01
16474,PC,2016,Strategy,0.01
15040,PSV,2015,Action,0.02
3349,3DS,2015,Action,0.6
10507,XOne,2015,Shooter,0.1
15153,XOne,2015,Sports,0.02
14559,PSV,2015,Role-Playing,0.03
8856,3DS,2015,Simulation,0.15
2577,PS3,2015,Sports,0.8
2554,XOne,2015,Action,0.81
10947,PC,2015,Sports,0.09
15103,PS3,2015,Fighting,0.02
14579,PS3,2015,Action,0.03
2542,PS4,2015,Misc,0.81
8846,PS3,2015,Action,0.15
14581,PSV,2015,Action,0.03
14589,XOne,2015,Adventure,0.03
2643,PS4,2015,Sports,0.78
14601,PSV,2015,Adventure,0.03
15001,PSV,2015,Action,0.02
14479,3DS,2015,Action,0.03
8428,XOne,2015,Shooter,0.17
8843,PS4,2015,Fighting,0.15
2367,XOne,2015,Action,0.88
15071,3DS,2015,Action,0.02
10610,XOne,2015,Sports,0.1
2523,PS3,2015,Sports,0.82
10556,XOne,2015,Sports,0.1
2459,WiiU,2015,Role-Playing,0.84
3483,PS3,2015,Sports,0.58
10519,PS4,2015,Role-Playing,0.1
2471,PS4,2015,Shooter,0.84
10581,PS4,2015,Role-Playing,0.1
15086,PS4,2015,Action,0.02
3442,WiiU,2015,Misc,0.58
3428,PS4,2015,Role-Playing,0.59
2417,3DS,2015,Role-Playing,0.86
14977,PS3,2015,Adventure,0.02
8893,PS3,2015,Action,0.15
3419,PS3,2015,Role-Playing,0.59
14545,X360,2015,Action,0.03
2409,3DS,2015,Action,0.86
14549,PSV,2015,Action,0.03
15076,X360,2015,Racing,0.02
15124,PSV,2015,Action,0.02
8414,PS4,2015,Action,0.17
3456,XOne,2015,Sports,0.58
8865,PSV,2015,Role-Playing,0.15
14978,PS4,2015,Fighting,0.02
8768,XOne,2015,Action,0.15
14972,PS3,2015,Action,0.02
3091,PS4,2015,Racing,0.66
2950,PS3,2015,Adventure,0.69
2965,3DS,2015,Misc,0.69
10752,XOne,2015,Action,0.1
15154,PS3,2015,Action,0.02
14631,PC,2015,Adventure,0.03
8676,3DS,2015,Role-Playing,0.16
10756,PC,2015,Role-Playing,0.1
2994,XOne,2015,Racing,0.68
3026,PC,2015,Role-Playing,0.67
14757,PS4,2015,Action,0.03
3035,PS4,2015,Adventure,0.67
14754,PSV,2015,Adventure,0.03
3252,XOne,2015,Shooter,0.62
10660,PS4,2015,Role-Playing,0.1
14699,3DS,2015,Action,0.03
8454,3DS,2015,Role-Playing,0.17
8528,PS4,2015,Action,0.16
10882,X360,2015,Action,0.09
14685,PSV,2015,Action,0.03
8464,PSV,2015,Action,0.16
14647,PSV,2015,Adventure,0.03
3172,PS4,2015,Action,0.64
14666,PC,2015,Racing,0.03
3212,PS4,2015,Action,0.63
10891,PS4,2015,Action,0.09
10904,PS4,2015,Action,0.09
14810,PSV,2015,Simulation,0.03
14625,3DS,2015,Strategy,0.03
8448,PS4,2015,Action,0.17
14813,PSV,2015,Adventure,0.03
8431,X360,2015,Sports,0.17
3286,PS4,2015,Sports,0.61
10671,PS3,2015,Role-Playing,0.1
8799,3DS,2015,Misc,0.15
2729,XOne,2015,Misc,0.75
2771,3DS,2015,Role-Playing,0.74
10673,PS4,2015,Action,0.1
3231,XOne,2015,Action,0.63
10702,XOne,2015,Racing,0.1
14616,PSV,2015,Role-Playing,0.03
14887,X360,2015,Action,0.03
14882,PS4,2015,Misc,0.03
14873,X360,2015,Adventure,0.03
14618,X360,2015,Action,0.03
2862,PS4,2015,Action,0.71
14859,PSV,2015,Role-Playing,0.03
14623,PS4,2015,Role-Playing,0.03
2875,PS4,2015,Role-Playing,0.71
2882,3DS,2015,Misc,0.71
10726,PS4,2015,Fighting,0.1
2894,XOne,2015,Action,0.71
14834,PS4,2015,Action,0.03
14828,3DS,2015,Misc,0.03
14820,PS3,2015,Adventure,0.03
2933,PS3,2015,Action,0.7
2979,PS4,2015,Action,0.68
6825,XOne,2015,Racing,0.24
9032,XOne,2015,Action,0.14
15740,PS3,2015,Action,0.02
9568,X360,2015,Sports,0.13
9569,PC,2015,Action,0.13
10086,3DS,2015,Action,0.11
1444,XOne,2015,Fighting,1.35
9576,PS4,2015,Action,0.13
15727,XOne,2015,Sports,0.02
9581,3DS,2015,Action,0.13
15707,XOne,2015,Adventure,0.02
15749,PSV,2015,Action,0.02
15769,PSV,2015,Action,0.02
15771,PSV,2015,Adventure,0.02
15780,PSV,2015,Action,0.02
15793,PSV,2015,Adventure,0.02
15796,X360,2015,Sports,0.02
15711,PS3,2015,Action,0.02
15691,PSV,2015,Adventure,0.02
15809,X360,2015,Sports,0.02
9511,PS4,2015,Adventure,0.13
15581,3DS,2015,Misc,0.02
1630,PC,2015,Role-Playing,1.23
10152,3DS,2015,Action,0.11
1605,XOne,2015,Role-Playing,1.24
15612,XOne,2015,Action,0.02
10119,PS3,2015,Action,0.11
1561,XOne,2015,Role-Playing,1.27
15676,PS3,2015,Action,0.02
15640,PC,2015,Action,0.02
1543,XOne,2015,Action,1.28
10112,PS4,2015,Action,0.11
1531,XOne,2015,Shooter,1.29
1526,WiiU,2015,Platform,1.29
1524,XOne,2015,Adventure,1.3
1317,XOne,2015,Action,1.45
15846,PSV,2015,Action,0.02
15157,PSV,2015,Action,0.02
999,X360,2015,Shooter,1.76
15978,PSP,2015,Action,0.02
15979,PS3,2015,Adventure,0.02
1034,PS4,2015,Role-Playing,1.72
1033,PS4,2015,Shooter,1.72
1018,XOne,2015,Racing,1.74
9918,PSV,2015,Action,0.12
9916,PS4,2015,Sports,0.12
15969,PSV,2015,Strategy,0.02
967,PS3,2015,Shooter,1.79
9905,WiiU,2015,Action,0.12
16037,XOne,2015,Sports,0.01
947,PS4,2015,Action,1.83
16043,PS4,2015,Role-Playing,0.01
16064,3DS,2015,Action,0.01
1063,X360,2015,Sports,1.69
15953,PSV,2015,Action,0.02
10029,XOne,2015,Sports,0.11
1122,PS4,2015,Adventure,1.64
1210,3DS,2015,Role-Playing,1.54
1207,WiiU,2015,Misc,1.55
9989,PS4,2015,Role-Playing,0.12
15897,PC,2015,Simulation,0.02
15907,PSV,2015,Action,0.02
15925,PS4,2015,Action,0.02
15930,PSP,2015,Action,0.02
1097,PS4,2015,Action,1.66
15932,PSV,2015,Adventure,0.02
15939,PS3,2015,Action,0.02
9727,PS4,2015,Action,0.12
9957,XOne,2015,Action,0.12
9754,PS3,2015,Sports,0.12
9780,3DS,2015,Role-Playing,0.12
15574,PC,2015,Misc,0.02
15572,PC,2015,Action,0.02
15570,3DS,2015,Action,0.02
2004,PS4,2015,Racing,1.04
14477,3DS,2015,Platform,0.03
15305,PC,2015,Action,0.02
15336,3DS,2015,Action,0.02
9230,PC,2015,Simulation,0.14
10318,3DS,2015,Puzzle,0.11
10310,PS4,2015,Sports,0.11
15352,PSV,2015,Action,0.02
2127,PS4,2015,Role-Playing,0.97
1977,PS4,2015,Fighting,1.05
9243,3DS,2015,Sports,0.14
15384,PS3,2015,Misc,0.02
10297,3DS,2015,Misc,0.11
9261,PS4,2015,Action,0.14
1896,PC,2015,Action,1.08
2123,X360,2015,Sports,0.98
2139,X360,2015,Sports,0.97
15561,PSV,2015,Action,0.02
10433,PS3,2015,Action,0.1
9037,PSV,2015,Action,0.14
2329,PS4,2015,Action,0.89
15171,PS3,2015,Action,0.02
10441,PSV,2015,Action,0.1
2285,X360,2015,Adventure,0.91
2271,PS4,2015,Sports,0.92
9103,3DS,2015,Action,0.14
15268,PS3,2015,Action,0.02
15225,PSV,2015,Adventure,0.02
2229,PS3,2015,Action,0.93
9136,PC,2015,Action,0.14
10398,WiiU,2015,Platform,0.11
2188,PS4,2015,Shooter,0.95
2171,X360,2015,Action,0.95
9304,PC,2015,Shooter,0.14
15424,PSV,2015,Adventure,0.02
10236,PS3,2015,Action,0.11
15539,PS4,2015,Puzzle,0.02
9417,3DS,2015,Action,0.13
9428,PSV,2015,Action,0.13
1737,XOne,2015,Shooter,1.17
15531,PS3,2015,Action,0.02
1702,3DS,2015,Role-Playing,1.19
10165,PC,2015,Racing,0.11
9471,XOne,2015,Misc,0.13
1850,3DS,2015,Action,1.1
15554,PSV,2015,Adventure,0.02
1673,PS4,2015,Sports,1.2
1672,XOne,2015,Shooter,1.2
1670,Wii,2015,Misc,1.2
15557,PSV,2015,Adventure,0.02
15560,PS3,2015,Action,0.02
9411,PSV,2015,Action,0.13
15495,PC,2015,Misc,0.02
15493,PSV,2015,Action,0.02
15490,3DS,2015,Strategy,0.02
15488,PSV,2015,Action,0.02
9393,PS3,2015,Sports,0.13
9371,XOne,2015,Action,0.13
15474,PS4,2015,Action,0.02
15472,PSV,2015,Action,0.02
9369,XOne,2015,Action,0.13
15469,PS3,2015,Action,0.02
9360,3DS,2015,Platform,0.13
15449,PSV,2015,Action,0.02
15446,PSV,2015,Strategy,0.02
1832,PS4,2015,Action,1.11
15442,PS4,2015,Action,0.02
15440,3DS,2015,Action,0.02
9184,3DS,2015,Action,0.14
14344,PS3,2015,Role-Playing,0.03
14467,3DS,2015,Role-Playing,0.03
12948,PS4,2015,Role-Playing,0.05
12958,XOne,2015,Action,0.05
11778,3DS,2015,Action,0.07
5725,3DS,2015,Misc,0.31
12960,PSV,2015,Role-Playing,0.05
5699,XOne,2015,Fighting,0.31
11773,3DS,2015,Misc,0.07
5691,XOne,2015,Misc,0.32
7280,PS4,2015,Action,0.22
11764,PSV,2015,Role-Playing,0.07
13004,PSV,2015,Role-Playing,0.05
13012,PS4,2015,Sports,0.05
13013,PS4,2015,Shooter,0.05
13017,PSV,2015,Platform,0.05
7290,3DS,2015,Strategy,0.22
13023,PC,2015,Fighting,0.05
11779,3DS,2015,Fighting,0.07
7268,WiiU,2015,Role-Playing,0.22
13389,X360,2015,Sports,0.05
12933,PSV,2015,Adventure,0.05
12850,PSV,2015,Action,0.05
12853,PSV,2015,Misc,0.05
12857,PSV,2015,Misc,0.05
12859,PSV,2015,Action,0.05
11843,PSV,2015,Adventure,0.07
12883,WiiU,2015,Action,0.05
12887,3DS,2015,Adventure,0.05
12891,PSV,2015,Action,0.05
7211,PC,2015,Shooter,0.22
12910,X360,2015,Sports,0.05
12916,3DS,2015,Action,0.05
5762,XOne,2015,Action,0.31
5759,PC,2015,Simulation,0.31
7254,PS4,2015,Action,0.22
7258,PS3,2015,Misc,0.22
7303,PSV,2015,Action,0.22
13025,PSV,2015,Action,0.05
7309,PS4,2015,Racing,0.22
11733,PS4,2015,Role-Playing,0.08
5345,PS4,2015,Misc,0.35
5332,PS4,2015,Simulation,0.35
7548,XOne,2015,Strategy,0.2
13260,PS4,2015,Role-Playing,0.05
11557,PSV,2015,Action,0.08
13285,PS4,2015,Action,0.05
13288,XOne,2015,Role-Playing,0.05
7561,PC,2015,Action,0.2
13298,PC,2015,Strategy,0.05
13299,PS3,2015,Sports,0.05
5226,X360,2015,Misc,0.36
13336,PS3,2015,Adventure,0.05
13340,PC,2015,Racing,0.05
13346,PS4,2015,Adventure,0.05
5157,PS4,2015,Misc,0.37
13226,3DS,2015,Action,0.05
13215,XOne,2015,Action,0.05
11590,PC,2015,Adventure,0.08
7374,X360,2015,Action,0.21
11722,PS4,2015,Platform,0.08
5585,PS3,2015,Action,0.32
11712,PSV,2015,Sports,0.08
5554,3DS,2015,Fighting,0.33
13075,PSV,2015,Adventure,0.05
13081,PSV,2015,Adventure,0.05
11702,PC,2015,Action,0.08
7486,3DS,2015,Action,0.21
11627,PS4,2015,Role-Playing,0.08
13123,PS4,2015,Adventure,0.05
13124,XOne,2015,Action,0.05
5482,PS4,2015,Fighting,0.33
13138,PS4,2015,Action,0.05
5435,X360,2015,Shooter,0.34
5872,PS4,2015,Action,0.3
5882,PS4,2015,Simulation,0.3
12830,X360,2015,Action,0.05
6961,3DS,2015,Role-Playing,0.23
12047,PC,2015,Action,0.07
12306,PSV,2015,Sports,0.06
6900,3DS,2015,Platform,0.24
12326,PS4,2015,Action,0.06
12373,3DS,2015,Puzzle,0.06
12024,PSV,2015,Misc,0.07
6465,Wii,2015,Action,0.26
12398,WiiU,2015,Misc,0.06
12020,PSV,2015,Role-Playing,0.07
6920,X360,2015,Misc,0.24
6426,XOne,2015,Action,0.27
12426,WiiU,2015,Action,0.06
6406,PS4,2015,Shooter,0.27
12431,Wii,2015,Action,0.06
6373,X360,2015,Fighting,0.27
12280,PS4,2015,Adventure,0.06
6618,PS4,2015,Platform,0.25
12071,XOne,2015,Role-Playing,0.07
6743,PC,2015,Strategy,0.25
12105,PS3,2015,Action,0.07
12115,3DS,2015,Action,0.07
12117,XOne,2015,Action,0.07
6779,PSV,2015,Action,0.24
6839,3DS,2015,Role-Playing,0.24
12142,X360,2015,Sports,0.07
12161,PS4,2015,Adventure,0.07
12076,PS4,2015,Action,0.07
12164,3DS,2015,Action,0.07
6724,PS3,2015,Action,0.25
6710,3DS,2015,Role-Playing,0.25
6701,XOne,2015,Role-Playing,0.25
6693,PS4,2015,Fighting,0.25
12197,PS4,2015,Role-Playing,0.07
12447,PS4,2015,Role-Playing,0.06
6325,PS4,2015,Role-Playing,0.27
5891,PS4,2015,Action,0.3
11997,PS3,2015,Racing,0.07
12679,PSV,2015,Adventure,0.06
11871,PS3,2015,Sports,0.07
12689,PS4,2015,Action,0.06
12692,PS4,2015,Adventure,0.06
6049,PS3,2015,Action,0.29
12726,PS4,2015,Sports,0.06
12729,PS4,2015,Action,0.06
12736,PS3,2015,Action,0.06
11865,X360,2015,Action,0.07
12782,PS4,2015,Sports,0.06
7161,XOne,2015,Role-Playing,0.22
12798,PS3,2015,Sports,0.06
12800,PS4,2015,Sports,0.06
12802,PS4,2015,Role-Playing,0.06
12821,WiiU,2015,Action,0.05
7124,PSV,2015,Action,0.23
11896,PSV,2015,Role-Playing,0.07
12638,PS3,2015,Adventure,0.06
6977,3DS,2015,Action,0.23
6291,PS4,2015,Role-Playing,0.27
12519,XOne,2015,Action,0.06
6259,PS4,2015,Action,0.28
11993,PSV,2015,Action,0.07
12545,XOne,2015,Action,0.06
12560,PSV,2015,Role-Playing,0.06
12573,PSV,2015,Role-Playing,0.06
7050,PC,2015,Shooter,0.23
6987,PC,2015,Strategy,0.23
7007,PS4,2015,Role-Playing,0.23
7019,XOne,2015,Action,0.23
7048,XOne,2015,Racing,0.23
12597,3DS,2015,Action,0.06
6175,PS3,2015,Misc,0.28
5139,PS4,2015,Action,0.37
13402,PSV,2015,Racing,0.05
14461,PSV,2015,Adventure,0.03
14080,PSV,2015,Sports,0.04
8134,PC,2015,Sports,0.18
4077,PS3,2015,Shooter,0.49
14108,3DS,2015,Misc,0.03
4026,PS3,2015,Action,0.49
11148,PS3,2015,Action,0.09
14145,PSV,2015,Role-Playing,0.03
14150,3DS,2015,Platform,0.03
3969,X360,2015,Sports,0.5
14171,PSV,2015,Role-Playing,0.03
3942,XOne,2015,Misc,0.51
14175,PSV,2015,Action,0.03
3933,PS4,2015,Action,0.51
3922,WiiU,2015,Action,0.51
14196,X360,2015,Adventure,0.03
8232,PS4,2015,Adventure,0.17
14083,PS4,2015,Action,0.04
11155,X360,2015,Action,0.09
5107,XOne,2015,Action,0.37
4125,WiiU,2015,Action,0.48
4283,X360,2015,Action,0.46
4277,XOne,2015,Action,0.46
4273,PS3,2015,Simulation,0.46
11183,PS4,2015,Action,0.09
13970,PSV,2015,Sports,0.04
8104,WiiU,2015,Misc,0.18
13985,PS3,2015,Action,0.04
13993,PS3,2015,Sports,0.04
